,zip1,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2010_cat,2011_cat,2012_cat,2013_cat,2014_cat,2015_cat,2016_cat,2017_cat,2018_cat,2019_cat
99,11373,25976843.0,20930736.0,25830564.0,26215969.0,26837057.0,39010864.0,52171012.0,36846015.0,28785807.0,11094757.0,good,good,good,good,good,good,good,good,good,good
100,10311,2032071.0,3365501.0,13422628.0,7751439.0,2774656.0,13126786.0,26682004.0,4451283.0,10450800.0,2702773.0,poor,poor,fair,poor,poor,fair,good,poor,fair,fair
101,11005,983200.0,2975184.0,961160.0,1115567.0,5557301.0,3731415.0,2406313.0,2197989.0,402800.0,422855.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
102,11433,16121581.0,12667042.0,20788869.0,25045184.0,15596364.0,27471983.0,14536821.0,28605134.0,17007243.0,16936753.0,fair,fair,good,good,fair,good,fair,good,fair,good
103,10454,7107642.0,23949082.0,30447715.0,9497386.0,27378169.0,23236207.0,8778142.0,27030197.0,20946253.0,46525413.0,fair,good,good,fair,good,fair,poor,good,good,excellent
104,10065,117289549.0,85361389.0,86565368.0,181618130.0,106079226.0,119721208.0,111228991.0,110548173.0,104562189.0,44797177.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
105,11372,23273742.0,23946928.0,21240560.0,17751242.0,25914088.0,37397976.0,23035382.0,27476246.0,23373887.0,5714697.0,good,good,good,fair,good,good,fair,good,good,fair
106,10035,32399972.0,18289977.0,35997833.0,18048067.0,24972197.0,45356327.0,29067370.0,41946152.0,19216025.0,7752888.0,good,good,good,fair,good,good,good,good,fair,fair
107,11223,30212134.0,65635062.0,33165928.0,39472881.0,39296918.0,35771748.0,38240845.0,43862003.0,18636977.0,6956394.0,good,excellent,good,good,good,good,good,good,fair,fair
108,10456,19241426.0,24544799.0,37998422.0,32662442.0,32185920.0,28733741.0,39105830.0,42887889.0,15970269.0,11137332.0,good,good,good,good,good,good,good,good,fair,good
109,10199,308258592.0,82172471.0,48664493.0,60363765.0,137989618.0,176084119.0,131777871.0,152360650.0,400868676.0,233167814.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
110,11430,909616.0,1498396.0,1865384.0,1000097.0,1534053.0,2155929.0,5735401.0,3548744.0,4568571.0,54739.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
111,11105,21938228.0,12872234.0,24154551.0,27246424.0,12428266.0,16972712.0,23424535.0,21539957.0,11542208.0,6939485.0,good,fair,good,good,fair,fair,fair,fair,fair,fair
112,10705,1306200.0,955716.0,157548.0,1459422.0,47000.0,927000.0,126800.0,106000.0,,1285003.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
113,11358,7796012.0,11461382.0,8915589.0,10027284.0,14954107.0,16072578.0,15761282.0,15563984.0,11182324.0,2110081.0,fair,fair,fair,fair,fair,fair,fair,fair,fair,poor
114,10028,86445692.0,117293127.0,143652703.0,168132345.0,154928297.0,167862302.0,222150000.0,141142449.0,119696040.0,66314182.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
115,11210,23576596.0,23423168.0,25249750.0,84480167.0,42953630.0,29351055.0,39796001.0,29930723.0,34572705.0,6972085.0,good,good,good,excellent,good,good,good,good,good,fair
116,11415,7087109.0,7363142.0,7336942.0,8763484.0,13938111.0,16177254.0,50231334.0,13152047.0,15195683.0,8266431.0,fair,fair,fair,poor,fair,fair,good,fair,fair,fair
117,11361,7242134.0,9182645.0,10618668.0,12232896.0,10942163.0,20032845.0,17081203.0,22962147.0,7524913.0,3756606.0,fair,fair,fair,fair,fair,fair,fair,good,fair,fair
118,11516,117000.0,0.0,100.0,142500.0,133898.0,2423568.0,0.0,125003.0,,35050.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
119,11228,9197679.0,12474643.0,14073914.0,26041497.0,20972491.0,20104657.0,25310963.0,20608387.0,8808462.0,960695.0,fair,fair,fair,good,fair,fair,fair,fair,fair,poor
120,10031,8738850.0,11300721.0,11189056.0,14049429.0,21225243.0,34422093.0,20689239.0,21367072.0,18240575.0,10890239.0,fair,fair,fair,fair,fair,good,fair,fair,fair,good
