boro,boro_name,postcode,10_11growth,11_12growth,12_13growth,13_14growth,14_15growth,15_16growth,16_17growth,17_18growth
1,Manhattan,10027,-0.006745159,-0.051734857,0.069139068,0.064636346,0.147659141,0.221664615,0.203556034,0.12732013
1,Manhattan,10032,0.147789798,0.022772428,0.078404946,0.075994475,0.137595167,0.12585689,0.155612987,0.137084574
4,Queens,11414,0.034462372,0.014406809,-0.173119963,0.023173282,0.022238933,0.193847891,0.060178629,0.077838467
3,Brooklyn,11206,0.001391354,0.042698393,-0.040748643,0.083526868,0.136663015,0.199349148,0.201155469,0.143160041
4,Queens,11421,-0.064721673,-0.005548836,0.003213669,0.054376961,0.109236094,0.124176246,0.089412109,0.111395234
1,Manhattan,10022,0.099279089,-0.044365174,0.014824014,0.037833746,0.095410095,0.083822899,0.051146077,0.063177244
4,Queens,11694,0.031178282,0.039219186,-0.225647779,0.115595307,0.026402172,0.080479981,0.138897652,0.117461249
2,Bronx,10458,0.014597397,0.011280944,0.009718716,0.035190354,0.090737316,0.103167377,0.111977279,0.11935012
3,Brooklyn,11208,-0.060609361,-0.040824334,-0.008308227,0.023484876,0.063625467,0.118707947,0.119367054,0.133659023
3,Brooklyn,11234,0.007860667,0.024441909,-0.062534733,0.032468418,0.024845914,0.148018144,0.097217529,0.079135955
4,Queens,11365,0.069043243,0.029940398,0.015951409,0.043012487,0.088130191,0.10177151,0.033705958,0.104026059
4,Queens,11366,0.047834343,0.032380655,0.017943847,0.048967326,0.08395658,0.112072594,0.048386607,0.106928442
4,Queens,11693,0.024944246,0.005215458,-0.196614002,0.052515776,0.014631358,0.159495142,0.097912125,0.097242938
1,Manhattan,10014,0.16520314,0.059818248,0.024574365,0.125696283,0.074057019,0.127681923,0.068468392,0.105260972
4,Queens,11102,0.055028283,0.030236961,-0.01416218,0.06139758,0.118400691,0.120415291,0.125315295,0.107922696
3,Brooklyn,11237,0.0046872,0.004865974,-0.027047092,0.017079924,0.172244114,0.22078523,0.201002776,0.142173348
2,Bronx,10474,-0.05278607,0.008401874,0.040457273,0.046658875,0.096341194,0.06950511,0.013765746,0.124693882
4,Queens,11432,-0.006030263,0.009957019,0.013131122,0.061798979,0.106314945,0.125693733,0.042473213,0.10234778
1,Manhattan,10282,0.077383655,0.019673852,0.136469494,0.074168782,0.11239506,0.092018278,0.095842147,-0.00200849
1,Manhattan,10013,0.089514417,0.010736877,0.039481172,0.118084961,0.104721745,0.103621094,0.084783044,0.131946977
1,Manhattan,10029,0.13466525,0.006369756,0.025017796,0.051956496,0.133724319,0.109288745,0.104472817,0.117506001
4,Queens,11422,-0.010280227,0.023843336,-0.054015296,0.024975207,0.060902782,0.147718871,0.033229227,0.097307354
2,Bronx,10466,-0.017896213,0.015597917,-3.17E-04,-0.001579786,0.075810336,0.057539771,0.061809942,0.08830016
3,Brooklyn,11214,0.019747862,0.055562617,-0.028625118,0.059530237,0.066166486,0.154841464,0.154220527,0.116739023
4,Queens,11412,-0.037509678,0.026577307,0.027785535,0.044308171,0.086086615,0.083292786,0.01599093,0.092283857
1,Manhattan,10003,0.167314486,0.073062507,0.055235671,0.063181106,0.090909108,0.103857509,0.058890013,0.080174186
1,Manhattan,10036,0.081506074,1.423743308,0.209738497,0.174674258,0.082989381,0.128781897,0.02683429,0.105826923
4,Queens,11362,0.057318618,0.028828919,0.004220619,0.049937566,0.078174407,0.084533266,0.038257725,0.079268969
